bioc_version,date
3.19,2024/05/01
3.18,2023/10/25
3.17,2023/04/26
3.16,2022/11/02
3.15,2022/04/27
3.14,2021/10/27
3.13,2021/05/20
3.12,2020/10/28
3.11,2020/04/28
3.10,2019/10/30
3.9,2019/05/03
