r_version,date
4.4.1,2024/06/14
4.4.0,2024/04/24
4.3.3,2024/02/29
4.3.2,2023/10/31
4.3.1,2023/06/16
4.3.0,2023/04/21
4.2.3,2023/03/15
4.2.2,2022/10/31
4.2.1,2022/06/23
4.2.0,2022/04/22
4.1.3,2022/03/10
4.1.2,2021/11/01
4.1.1,2021/08/10
4.1.0,2021/05/18
4.0.5,2021/03/31
4.0.4,2021/02/15
4.0.3,2020/10/10
